Potential (V),Current (A),,
1.625264406,0.000796278,,
1.630439639,0.000799312,,
1.635485411,0.000802186,,
1.640531182,0.00080506,,
1.645447612,0.000808254,,
1.650493383,0.000811607,,
1.655409813,0.000814481,,
1.660455704,0.000817674,,
1.665501475,0.000820389,,
1.670547247,0.000823582,,
1.675334334,0.000826776,,
1.680509448,0.00082965,,
1.685425878,0.000832364,,
1.69060111,0.000835557,,
1.695388079,0.000838431,,
1.700175166,0.000840667,,
1.695129275,0.00081512,,
1.690083504,0.000791488,,
1.68490839,0.000769613,,
1.680509448,0.000749016,,
1.675204873,0.000729376,,
1.670288444,0.000710375,,
1.664983869,0.000692333,,
1.660326242,0.000674929,,
1.655151129,0.000658482,,
1.649975896,0.000642515,,
1.645059466,0.000627027,,
1.639884353,0.000612338,,
1.635356069,0.000597808,,
1.630310297,0.000584236,,
1.625264406,0.000570664,,
1.620218635,0.00055773,,
1.615172863,0.000545436,,
1.610515237,0.000533301,,
1.605210662,0.000521325,,
1.600035429,0.000510627,,
1.595248461,0.000498971,,
1.59020257,0.000487954,,
1.58528626,0.000477097,,
1.580240369,0.000467197,,
1.575065255,0.000457297,,
1.569890022,0.000447557,,
1.565232396,0.000438297,,
1.559927821,0.000429036,,
1.555399537,0.000419934,,
1.549836278,0.000411472,,
1.544919848,0.00040285,,
1.539874077,0.000394547,,
1.535216331,0.000386723,,
1.529911757,0.00037858,,
1.524995446,0.000370596,,
1.520337701,0.000363411,,
1.515162587,0.000355747,,
1.510116816,0.000348721,,
1.504812241,0.000341376,,
1.499895811,0.000334511,,
1.494979382,0.000327804,,
1.489804149,0.000321258,,
1.48501718,0.000314871,,
1.479971409,0.000308484,,
1.475054979,0.000302097,,
1.47013855,0.00029619,,
1.46522212,0.000289643,,
1.460046887,0.000284214,,
1.455001116,0.000278147,,
1.449696541,0.000272718,,
1.444909573,0.000267289,,
1.439863682,0.000261541,,
1.434688568,0.000256591,,
1.429513335,0.000251162,,
1.424596906,0.000245893,,
1.419809937,0.000241103,,
1.414893508,0.000235834,,
1.409588933,0.000230884,,
1.404543161,0.000226094,,
1.39949739,0.000221623,,
1.394710302,0.000216993,,
1.389793873,0.000212682,,
1.384748101,0.000207892,,
1.379831672,0.000203581,,
1.374915242,0.000199908,,
1.369610667,0.000195118,,
1.364823699,0.000191286,,
1.359777927,0.00019707,,
1.354861498,0.000193069,,
1.349815607,0.00018903,,
1.344640493,0.000185146,,
1.339724064,0.000181327,,
1.334678292,0.000177534,,
1.329761863,0.000173922,,
1.32458663,0.000170316,,
1.319799662,0.000166698,,
1.31475389,0.000163183,,
1.310096145,0.000159797,,
1.304662228,0.000156347,,
1.299616456,0.000152923,,
1.294441223,0.000149634,,
1.289912939,0.000146365,,
1.284608483,0.000143135,,
1.27943325,0.000139905,,
1.274646163,0.000136915,,
1.269471049,0.000133788,,
1.264425278,0.000130778,,
1.259379387,0.000127716,,
1.254204273,0.000124874,,
1.249417186,0.000122078,,
1.244500756,0.00011921,,
1.239196301,0.000116492,,
1.234279871,0.00011374,,
1.229234099,0.000111002,,
